Year,Month,ch4,coal,butane,NOx,NH3,CO,SO2,O3,AQI,year
2015,1,,13.24,18.97,NOx,NH3,4.62,17.24,O3,,2015
2015,2,,9,14.56,NOx,NH3,2.35,7.4,O3,,2015
2015,3,,7.2,21.13,NOx,NH3,10.91,8.78,O3,,2015
2015,4,28.67,3.89,23.62,NOx,NH3,,8.31,O3,113.73,2015
2015,5,33.55,5.84,11.87,NOx,NH3,,5.27,O3,102.77,2015
2015,6,18.3,2.72,11.45,NOx,NH3,3.21,6.61,O3,108.3,2015
2015,7,21.02,4.12,12.32,NOx,NH3,9.55,4.04,O3,160.55,2015
2015,8,21.12,4.24,24.73,NOx,NH3,14.07,3.02,O3,134.87,2015
2015,9,20.23,4.94,33.22,NOx,NH3,5.97,2.52,O3,98.37,2015
2015,10,31.43,5.29,31.52,NOx,NH3,,3.13,O3,105.32,2015
2015,11,,5.48,,NOx,NH3,,2.8,O3,83.93,2015
2015,12,46.01,16.17,30.35,NOx,NH3,,5.65,O3,97.45,2015
2016,1,67.89,30.33,,NOx,NH3,0.96,12,O3,134.32,2016
2016,2,69.8,9.84,,NOx,NH3,1.55,5.42,O3,143.9,2016
2016,3,63.1,9.45,27.64,NOx,NH3,0.97,3.22,O3,145.58,2016
2016,4,40.67,8.47,23.84,NOx,NH3,1.08,3.77,O3,122,2016
2016,5,,7.89,,NOx,NH3,0.64,4.28,O3,67.87,2016
2016,6,,,,NOx,NH3,,,O3,,2016
2016,7,,9.07,,NOx,NH3,,2.51,O3,,2016
2016,8,,,,NOx,NH3,3.67,,O3,,2016
2016,9,,5.61,,NOx,NH3,0.54,4.2,O3,72.33,2016
2016,10,,12.43,,NOx,NH3,0.93,5.96,O3,116.61,2016
2016,11,49.41,10.19,,NOx,NH3,0.98,4.99,O3,110.7,2016
2016,12,41.31,9.66,24.16,NOx,NH3,0.94,5.01,O3,115.39,2016
2017,1,,8.48,,NOx,NH3,2.13,5.34,O3,114.61,2017
2017,2,38.54,9.6,22.54,NOx,NH3,3.69,7.39,O3,119.18,2017
2017,3,37.07,8.07,30.1,NOx,NH3,0.38,6.04,O3,81.19,2017
2017,4,35.89,5.97,,NOx,NH3,0.48,4.23,O3,92,2017
2017,5,29.58,6.66,23.09,NOx,NH3,0.41,4.66,O3,66.97,2017
2017,6,23.72,7.8,,NOx,NH3,,5.19,O3,59.7,2017
2017,7,,16.9,,NOx,NH3,0.82,5.2,O3,,2017
2017,8,20.82,11.19,,NOx,NH3,1.13,5,O3,83,2017
2017,9,25.9,12.83,,NOx,NH3,0.62,5.21,O3,72.47,2017
2017,10,39.63,12.38,25.94,NOx,NH3,0.81,4.7,O3,89.68,2017
2017,11,38.01,11.16,,NOx,NH3,0.84,3.72,O3,77.23,2017
2017,12,,12.58,,NOx,NH3,0.89,3.67,O3,96.68,2017
2018,1,38.34,6.68,,NOx,NH3,1.04,4.39,O3,97.58,2018
2018,2,29.89,5.71,,NOx,NH3,1,4.06,O3,81,2018
2018,3,,,,NOx,NH3,1.08,,O3,,2018
2018,4,,5.43,,NOx,NH3,0.9,3.86,O3,,2018
2018,5,45.09,7.25,,NOx,NH3,0.91,5.11,O3,92.29,2018
2018,6,25.46,9.75,,NOx,NH3,1.01,4.87,O3,66.93,2018
2018,7,19.73,13.63,21.81,NOx,NH3,0.83,7.28,O3,61.77,2018
2018,8,19.12,19.73,20.52,NOx,NH3,0.81,6.67,O3,62.84,2018
2018,9,25.1,16.78,21.1,NOx,NH3,0.86,7.41,O3,76.17,2018
2018,10,36.83,16.7,15.01,NOx,NH3,0.89,6.74,O3,94.71,2018
2018,11,45.17,14.62,18.41,NOx,NH3,1.06,6.06,O3,104.2,2018
2018,12,56.35,14.56,17.9,NOx,NH3,0.96,6.07,O3,119,2018
2019,1,54.72,12.03,20.38,NOx,NH3,0.96,5.85,O3,116.81,2019
2019,2,45.54,13.06,15.77,NOx,NH3,0.93,4.93,O3,106.25,2019
2019,3,48.91,10.36,15.92,NOx,NH3,0.95,5.93,O3,122.13,2019
2019,4,49.27,9.09,17.3,NOx,NH3,1.02,5.29,O3,124.3,2019
2019,5,40.17,8.7,16.55,NOx,NH3,0.94,4.35,O3,105.39,2019
2019,6,23.32,6.85,12.4,NOx,NH3,0.74,5.34,O3,70.53,2019
2019,7,21.33,6.36,11.32,NOx,NH3,0.74,5.2,O3,63.74,2019
2019,8,17.17,8.79,12.55,NOx,NH3,0.76,4.34,O3,59.35,2019
2019,9,22.51,8.1,11.99,NOx,NH3,0.85,5.23,O3,72.97,2019
2019,10,27.42,12.8,15.25,NOx,NH3,0.88,4.99,O3,81.13,2019
2019,11,40.26,13.78,17.76,NOx,NH3,1.07,6.11,O3,96.2,2019
2019,12,35.26,9.5,13.54,NOx,NH3,1,6.62,O3,81.77,2019
2020,1,39.31,8.65,14.28,NOx,NH3,1.1,7.58,O3,95.32,2020
2020,2,41.61,6.98,13.31,NOx,NH3,1.07,7.24,O3,96.48,2020
2020,3,38.19,4.79,12.52,NOx,NH3,0.94,6.87,O3,90.74,2020
2020,4,24.93,2.89,10.95,NOx,NH3,0.72,5.99,O3,68.53,2020
2020,5,21.27,3.71,8.92,NOx,NH3,0.78,6.48,O3,73.16,2020
2020,6,18.04,4.89,6.26,NOx,NH3,0.63,7.1,O3,55.17,2020
2020,7,17.5,3.95,7.42,NOx,NH3,0.54,6.66,O3,43,2020
2020,8,0,0,0,0,0,0,0,0,0,2020
2020,9,0,0,0,0,0,0,0,0,0,2020
2020,10,0,0,0,0,0,0,0,0,0,2020
2020,11,0,0,0,0,0,0,0,0,0,2020
2020,12,0,0,0,0,0,0,0,0,0,2020
